name,endereco,bairro,cep,cidade,estado,pais,telefone,nome_fantasia,email,site,cnpj
Associação de Pais e Amigos dos Excepcionais,Rua 14 Qd. 05 Setor Oeste - 10 - Próximo Novo Campo da FIESC,Oeste,77760000,Colinas do Tocantins,TO,Brasil,63-34761471,Escola Especial Gotas de Esperança,apaecolinasto@hotmail.com,wwwapaecolinasto.blogspot.com,25062282000182
Associação Geografica União das Aguas,Av. Juscelino Kubitscheck - 660 -,Centro,45840000,Guaratinga,BA,Brasil,73-8104 7799,A.G.U.A.,aguaong@yahoo.com.br,www.aguaong.org.br,6061184000186
Associacao de Fomento a Educacao e Bolsa de Projetos Tecnologicos Sustentaveis,Rua Antonio de Castro Alves - 130 -,Faz Sta Julia,13295000,Itupeva,SP,Brasil,11-44962218,ATITUDES,atitudes@atitudes.org.br,www.atitudes.org.br,7013149000154
INSTITUTO BDONI,Rua Professor Anacleto Damiani - 103 -,Centro,88020570,Florianópolis,SC,Brasil,48-3333.2375,INSTITUTO BDONI,neiva@institutobdoni.com.br,---,6220343000148
Ação Social da Paróquia de Ribeira,praça Major Agostinho Dias Batista - 260 - -0,centro,18380000,Ribeira,SP,Brasil,15-35551198,Ação Social da Paróquia de Ribeira,aspribeir@bol.com.br,,
associação dos pais e amigos dos excepcionais de chapada dos guimarães,rua 06 lote 120 quadra 37 bom clima - -,,78195000,Chapada dos Guimarães,MT,Brasil,65-33011828,apae,apaechapada@bol.com.br,,
Albergue Noturno Protetor dos Pobres,Rua Independência - 2611 -,Centro,15010110,São José do Rio Preto,SP,Brasil,17-3232 8260,,,,
FUNDAÇÃO REVIVER REFÚGIO VIDA VERDADEIRA,RUA DOS ALPES - 413 -,CAMBUCI,1520030,São Paulo,SP,Brasil,11-32082557,,,,
Associação Cultural e Educacional Benizio,Rua José Freire de Lima - 6 -,Centenário,25025530,Duque de Caxias,RJ,Brasil,21-26715826,ACEBS,adrianapirangi@ig.com.br,,
ASSOCIAÇÃO COMUNITÁRIA DO BRASIL CENTRAL,SGAS 906 CONJ. D Lts. 10/11 - SN - CX.POSTAL 417,ASA SUL,70390060,Brasília,DF,Brasil,61-34431223,ASSOCIAÇÃO COMUNITÁRIA DO BRASIL CENTRAL,freiairtonguedes@yahoo.com.br,,
LAR ITATIBENSE DA CRIANÇA,RUA ALFREDO DE OLIVEIRA COELHO - 139 -,JD. CARLOS BORELLA,13253212,Itatiba,SP,Brasil,11-45380474,LAR ITATIBENSE DA CRIANÇA,laritatibense@terra.com.br,www.laritatibense.org.br,50119288000196
Associação de Pais e Amigos dos Excepcionais,Av Espanha - 2548 -,Centro,96410000,Bagé,RS,Brasil,53-32411200,,,,
Associação Cristã de Moços de Itapeva,Rua Carmino Farina - 172 -,Vila Isabel,18411400,Itapeva,SP,Brasil,15-35222521,ACM de Itapeva,cristiano.acm@hotmail.com,,
LIGA DE PROTEÇÃO E ASSISTENCIA A MATERNIDADE E A INFANCIA DE AGRESTINA,RUA JOAO DE DEUS - 320 - SEDE,CENTRO,55495000,Agrestina,PE,Brasil,81-37441344,HOSPITAL GERAL AMELIA GUEIROS LEITE,coordcontabil.csc@ipassaude.org,,
AÇÃO SOCIAL SANTA ISABEL,RUA DOM PEDRO II - 10 -,N.SRA.DAS GRAÇAS,92110020,Canoas,RS,Brasil,51-34725605,LAR DA VELHICE SÃO JOSÉ,assifinanceiro@terra.com.br,,
abrigo de são vicente de paulo,av josé moreira de queiroz - 757 -,serelepe,13611000,Leme,SP,Brasil,19-35712518,abrigo,abrigosvp@yahoo.com.br,,
Ação Social Presbiteriana Américo Cardoso de Menezes,Rua Ceara - 1434 -,Funcionários,30150311,Belo Horizonte,MG,Brasil,31-25550129,,,,
Serviço de Orientação e Solidariedade á Aids,RUA TEIXEIRA SOARES - 625 -,Centro,99010080,Passo Fundo,RS,Brasil,54-54 9991287,SOSA,sosapf@hotmail.com,,
ASSOCIACAO COMUNITARIA PIRACICABA,SITIO PIRACICABA - SN - ZONA RURAL,PIRACICABA,62780000,Palmácia,CE,Brasil,85-33740102,,,,
Associação Metodista de Ação Social,Rua Alemanha - 15 -,Parque das Nações,37706182,Poços de Caldas,MG,Brasil,35-37213399,AMAS/PC,amaspocos@yahoo.com.br,,
ASSOCIACAO COMUNITARIA SEARA DE LUZ,RUA DOUTOR PLINIO DE MORAES - 40 -,ASTECA,33120320,Santa Luzia,MG,Brasil,31-36372799,SEARA DE LUZ,searadeluz@hotmail.com,,
AÇÃO SOCIAL CLARETIANA,RUA JAGUARIBE - 699 -,VILA BUARQUE,1224001,São Paulo,SP,Brasil,11-38231060,,,,
ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CAÇADOR,RUA ALTAMIRO GUIMARÃES - 543 -,CENTRO,89500000,Caçador,SC,Brasil,49-35631635,APAE,apaecacador@conection.com.br,,
AÇÃO SOCIAL PAROQUIA JOAQUIM NABUCO,RUA CORONEL AUSTRICLINIO - 270 -,CENTRO,55535000,Joaquim Nabuco,PE,Brasil,81-36821138,,,,
"ASSOCIAÇÃO DE PAIS, FUNCIONÁRIOS E AMIGOS DO CERJ",RUA: MODELO - 214 -,FLORESTA,89211550,Joinville,SC,Brasil,47-3436-3945,CERJ,associacaocerj@netvision.com.br,,
Associação da Casa dos Deficientes de Ermelino Matarazzo,Rua Miguel Rachid - 596 -,Ermelino Matarazzo,3808130,São Paulo,SP,Brasil,11-65411548,ACDEM,acdem@terra.com.br,www.acdem.org.br,61058475000123
